customer_id,transaction_date,subtotal,promo_used,discount,net_amount
C0001,2024-03-09,148.13,None,0.0,148.13
C0001,2024-06-13,134.8,None,0.0,134.8
C0002,2024-03-25,282.56,None,0.0,282.56
C0003,2024-06-17,217.63,None,0.0,217.63
C0003,2024-05-06,400.77,None,0.0,400.77
C0003,2024-03-11,747.0,None,0.0,747.0
C0003,2024-02-02,618.71,None,0.0,618.71
C0003,2024-03-01,381.93,None,0.0,381.93
C0004,2024-06-17,337.51,None,0.0,337.51
C0004,2024-04-07,124.52,None,0.0,124.52
C0004,2024-04-07,245.41,None,0.0,245.41
C0005,2024-01-05,383.71,None,0.0,383.71
C0006,2024-03-14,569.84,None,0.0,569.84
C0006,2024-04-21,568.13,None,0.0,568.13
C0006,2024-06-15,636.35,P_MIDYEAR,200.0,436.35
C0006,2024-06-16,289.55,P_MIDYEAR,200.0,89.55000000000001
C0006,2024-04-08,241.57,None,0.0,241.57
C0006,2024-03-03,597.8,P_FLASH,89.67,508.12999999999994
C0007,2024-01-20,635.88,None,0.0,635.88
C0007,2024-03-08,805.4,None,0.0,805.4
C0007,2024-05-22,363.91,None,0.0,363.91
C0007,2024-03-19,903.67,None,0.0,903.67
C0007,2024-04-01,404.39,None,0.0,404.39
C0007,2024-05-04,560.99,None,0.0,560.99
C0007,2024-02-27,800.58,None,0.0,800.58
C0007,2024-04-22,221.73,None,0.0,221.73
C0007,2024-06-01,275.32,P_MIDYEAR,200.0,75.32
C0008,2024-04-06,1476.82,None,0.0,1476.82
C0008,2024-06-15,2141.95,None,0.0,2141.95
C0008,2024-06-26,733.52,None,0.0,733.52
C0008,2024-01-11,1009.42,None,0.0,1009.42
C0008,2024-05-31,1391.68,None,0.0,1391.68
C0008,2024-03-25,1280.87,None,0.0,1280.87
C0008,2024-05-22,2787.73,None,0.0,2787.73
C0008,2024-02-11,1619.01,None,0.0,1619.01
C0008,2024-05-09,1291.9,None,0.0,1291.9
C0008,2024-01-03,2742.97,P_NEWYEAR,274.3,2468.6699999999996
C0008,2024-06-09,1995.28,P_MIDYEAR,200.0,1795.28
C0008,2024-04-10,2331.59,None,0.0,2331.59
C0008,2024-04-10,1600.81,None,0.0,1600.81
C0008,2024-01-19,2706.04,None,0.0,2706.04
C0008,2024-02-15,1299.17,None,0.0,1299.17
C0008,2024-04-18,2960.28,None,0.0,2960.28
C0008,2024-01-13,1307.53,None,0.0,1307.53
C0008,2024-02-28,905.58,P_CHAMPION,181.12,724.46
C0008,2024-01-25,732.58,P_CHAMPION,146.52,586.0600000000001
C0009,2024-06-10,1024.38,P_CHAMPION,204.88,819.5000000000001
